20	행복한 나를 	허각	[769, 2497, 1394]	['이별', '경험', '시작', '사랑', '마지막', '우', '하루', '목소리', '매일밤', '집', '때', '곳', '하루', '마음', '품', '지금', '날', '사랑', '걸', '사람', '자신', '미래', '사랑', '이제', '행복', '하루', '목소리', '매일밤', '집', '때', '곳', '하루', '마음', '품', '지금', '날', '사랑', '걸', '사람', '자신', '미래', '사랑', '이제', '행복', '기대', '세상', '사랑', '마음', '자리', '지금', '사랑', '전부', '사람', '자신', '미래', '혼자', '이제', '행복']
21	미리 메리 크리스마스 	아이유	[611, 2935, 1636]	['눈', '때', '세상', '물', '때', '눈꽃', '빛', '눈', 'Yeah', 'girl', 'Huh', 'Huh', 'Huh', 'Huh', 'bottom', 'heart', 'thank', 'god', 'found', '가슴', 'yeah', '생각', 'oh', 'love', 'love', 're', 'boo', '꿈', '선물', '품', '불안불안', '꿈', '맘', '하늘', '감사', '눈', '때', '세상', '물', '때', '눈꽃', '빛', '눈', '사랑', '밖', '사랑', '손', '눈', '위', '발자국', '길', '끝', '자랑', '여자친구', '다음', '다음', '겨울', '곁', '눈', '때', '세상', '물', '때', '눈꽃', '빛', '눈', '사랑', '밖', '사랑', '손', '눈', '위', '발자국', '길', '끝', '행복', 'love', '옆', '손', '게', '눈', '볼', '키스', 'Baby', 'Baby', '크리스마스', '날', '곁', '하루', '종일', '약속', '사랑', '밖', '사랑', '손', '눈', '위', '발자국', '길', '끝', 'Girl', 'think', 'life', 'Yeah', 'Yeah', 'baby']
22	아잉♡	오렌지 캬라멜	[596, 1622, 1798]	['입술', '간질', '간질', '마음', '눈물샘', '신호', '알러지', '사랑', '날', '징글', '징글', '징글', '오', '온몸', '뼛속', '오', '맘', '나나', '난', '난', '나나', '나나', '농담', '맘', '생각', '알러지', '사랑', '얌전', '날', '정신', '징글', '징글', '징글', '오', '온몸', '뼛속', '오', '맘', '날', '사랑', '남자', '남자', '오', '완벽', '머리', '발끝', '삶', '보석', '인생', '기적', '오', '사랑', '나나', '난', '난', '나나', '나나', '나나', '난', '난', '나나', '나나']
23	Beautiful	비스트	[106, 2249, 1009]	['Beautiful', 'girl', 'beautiful', 'girl', 'beautiful', 'girl', 'cube', 'Ha', 'ha', 'girl', 'confession', 'Drop', 'beat', 'listen', 'heart', '맘', '말', '표현', 'style', '맘', 'oh', 'listen', 'listen', 'listen', 'Nothing', '세상', '워', 'Hey', 'baby', 'girl', '매일', 'want', 'beautiful', 'girl', 'oh', 'oh', 'girl', 'oh', 'oh', 'girl', '시간', 'girl', '에', 'oh', 'oh', 'think', '지금', '사랑', 'girl', 'girl', 'oh', 'beautiful', 'beautiful', 'beautiful', 'nothing', 'oh', 'beautiful', 'beautiful', 'beautiful', 'Don', 'shy', 'girl', '때', 'll', '때', '품', '눈', '맘', 'oh', 'listen', 'listen', 'listen', 'girl', 'Nothing', '마음', '하루', '시간', '게', 'hand', 'fly', 'beautiful', 'girl', 'oh', 'oh', 'girl', 'oh', 'oh', 'girl', '시간', 'girl', '에', 'oh', 'oh', 'think', '지금', '사랑', 'girl', 'girl', 'oh', 'beautiful', 'beautiful', 'beautiful', 'nothing', 'oh', 'beautiful', 'beautiful', 'beautiful', 'Beautiful', 'girl', 'love', 'baby', 'love', 'heart', 'nice', 'beautiful', 'girl', 'oh', 'oh', 'girl', 'oh', 'oh', 'girl', '시간', 'girl', '에', 'oh', 'oh', '지금', '사랑', 'girl', 'girl', 'oh', 'beautiful', 'beautiful', 'beautiful', 'nothing', 'oh', 'beautiful', 'beautiful', 'beautiful', 'nothing']
24	전활 받지 않는 너에게	2AM	[88, 2272, 1133]	['밖', '게', '집', '앞', '할일없이', '일', '비참', '게', '곳', '집', '앞', '전화', '용서', '소용', '집', '앞', '본체', '처음', '사람', '날', '한마디', '때', '하루', '전화기', '소리', '문자', '확인', '처음', '처음', '다툼', '날', '여자', '전화', '용서', '소용', '집', '앞', '본체', '처음', '사람', '날', '한마디', '때']
25	그땐 그땐 그땐	Supreme Team	[3457, 1703, 3211]	['yeah', 'Supreme', 'Team', 'Secret', 'Brown', 'Soul', 'miss', 'baby', '말', '날', '진심', '순간', '모면', '법', '연기', '얼굴', '일', '이상', '기회', '날', '그때', '자격', '사랑', '안정감', '마음', '상처', '방법', '생각', '눈물', '이제', '맘', '빛', '미소', '눈', '그때', '그때', '그때', '비참', '앞', '그때', '그때', '그때', '사랑', '법', '상처', '이제', '만남', '시작', '때', '말', '맘', '사랑', '이란', '애', '장난', '말', '날', '위로', '꼴', '필요', '곳', '일', '침대', '잠', '예전', '변명', '거리', '날', '몰두', '일', '날', '눈물', '이제', '맘', '빛', '미소', '눈', '그때', '그때', '그때', '비참', '그때', '그때', '그때', '사랑', '불안', '모습', '때', '날', '그때', '날', '불안', '모습', '때', '날', '그때', '날', '시간', '꿈', '맘', '사랑', '날', '그때', '그때', '그때', '비참', '앞', '그때', '그때', '그때', '사랑', '후회', '게', '후회', '게', '후회', '게', '후회', '게']
26	문이 닫히면	윤두준	[549, 38, 331]	['마지막', '인사', '전', '날', '빛', '끝', '눈물', '웃음', '행복', '추억', '미소', '문', '모습', '하루', '눈물', '너와', '추억', '혼자', '행복', '손', '일', '사람', '품', '사람', '인연', '끝', '사람', '생각', '날', '때', '그때', '약속', '눈물', '사람', '곁', '이별', '손', '문', '모습', '하루', '눈물', '너와', '추억', '혼자', '행복', '손', '일', '사람', '품', '마음', '전', '눈물', '날', '문', '모습', '하루', '눈물', '너와', '추억', '혼자', '행복', '손', '일', '사람', '품', '문']
27	뭐해?	포맨	[2558, 570, 522]	['생각', '걱정', '하루', '종일', '얼굴', '행복', '기도', '걸', '옆', 'lady', 'lady', 'lady', 'lay', '고백', 'baby', 'baby', 'baby', 'bay', '말', '표현', '사랑', '선물', '준비', '힘', '천사', '뒤', 'lady', 'lady', 'lady', 'lay', '고백', 'baby', 'baby', 'baby', 'bay', '말', '표현', '사랑', 'baby', 'baby', 'baby', 'bay', '고백', 'baby', 'baby', 'baby', 'bay', '말', '표현', '사랑', '사랑']
28	눈부신 눈물	디셈버	[1139, 1008, 464]	['사랑', '그때', '조금', '사랑', '마음', '심장', '옆', '혼자', '사랑', '미소', '눈물', '눈', '하루', '생각', '본적', '오늘', '마지막', '사랑', '사랑', '가슴', '이별', '뒤', '사랑', '사랑', '말', '말기', '말', '입술', '혼자', '하루', '생각', '본적', '오늘', '마지막', '사랑', '사랑', '가슴', '바보', '너머', '사랑', '바람', '어깨', '위', '눈물', '사랑', '사랑', '마', '사랑', '사랑', '사랑', '그때', '하늘', '부탁', '말', '사랑']
29	같이 살자	김지수	[3608, 628, 1230]	['이름', '평생', '사람', '손', '이름', '평생', '사랑', '가슴속', '사람', '상처', '말', '말', '위험', '운명', '이제', '사랑', '걸', '안', '꽃잎', '때', '시간', '말', '말', '위험', '운명', '이제', '손', '추억', '말', '얼굴', '운명']
30	하늘을 달리다	허각	[969, 1119, 460]	['뒤', '절벽', '끝', '이상', '발', '곳', '목', '이름', '때', '귓가', '목소리', '구원', '마른하늘', '몸', '태양', '다리', '맘', '마음속', '영원', '꿈', '날', '착각', '이름', '때', '귓가', '목소리', '나', '희망', '마른하늘', '몸', '태양', '다리', '맘', '마음속', '영원', '영혼', '힘', '날개', '달', '마른하늘', '몸', '태양', '다리', '맘', '마음속', '영원']
31	Supa Dupa Diva	달샤벳	[64, 933, 3617]	['Uh', 'Huh', 'Holla', 'baby', 'wake', 'Supa', 'Dupa', 'Supa', 'Dupa', 'Diva', 'Supa', 'Dupa', 'Supa', 'Dupa', 'Diva', 'girl', '말론', '부족', 'hot', 'girl', 'Boom', 'Boom', 'Bubi', 'Bubi', 'Bubi', 'Boom', '날', '시선', '남자', 'Supa', 'Dupa', 'Diva', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Boom', 'Boom', 'Boom', '몸', '맘', '안', '모습', '옷', 'hot', 'girl', 'Boom', 'Boom', 'Bubi', 'Bubi', 'Bubi', 'Boom', 'fantastic', 'magical', '머리', '발끝', 'fly', 'girl', 'Supa', 'Dupa', 'Diva', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Boom', 'Boom', 'Boom', 'time', 'limelight', '날', 'Highlight', '몸', 'hot', 'boom', 'boom', 'Break', 'Break', 'Break', 'Break', 'funky', 'crash', 'Hey', 'fire', '날', '물', '물', '천하무적', '멋쟁이', '예비', '스타', 'Supa', 'Dupa', 'Diva', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Supa', 'pa', 'Dupa', 'pa', 'Supa', 'Dupa', 'LaLa', 'Diva', 'va', 'Diva', 'va', 'Supa', 'Boom', 'Boom', 'Boom', 'Boom', 'Jumpin', 'oh', 'Holla', 'baby', 'Jumpin', 'oh', 'baby', 'Diva', 'Diva', 'Supa', 'Dupa', 'Supa', 'Dupa', 'Diva', 'Supa', 'Dupa', 'Supa', 'Dupa', 'Diva', '몸', '맘']
32	라떼 한잔 	가비엔제이	[2205, 1790, 1706]	['맘', '여자', 'love', '날', 'want', 'love', 'love', 'want', 'love', '상처', '햇살', '날', '라', '떼', '한잔', '말', '햇살', 'don', 'bay', 'bay', 'bay', '눈', '날', '기분', '전화', '한잔', '맘', '가슴', 'don', 'bay', 'bay', 'bay', '맘', '여자', 'love', '날', 'want', 'love', 'love', 'want', 'love', '상처', '사람', '생각', '눈치', '말', '맘', 'don', 'bay', 'bay', 'bay', '맘', '여자', 'love', '날', 'want', 'love', '눈빛', '때', '행동', '날', '때', '뒷걸음질', '맘', '발', '때', '가슴', '의지', '따스함', '날', '날', '날', '사랑', '사랑', '맘', '여자', '사랑', '지금', '사랑', '맘', '여자', '사랑', '지금', '사랑', 're', 'love', 're', 'love', '맘', 're', 'love', 're', 'love', '맘']
